Symbol,Company,Geography,Weight
RUN,Sunrun Inc,United States,11.64
JKS,JinkoSolar Holding Co Ltd ADR,China,6.56
DQ,Daqo New Energy Corp ADR,China,6.37
PLUG,Plug Power Inc,United States,5.07
SPWR,SunPower Corp,United States,4.29
ENPH,Enphase Energy Inc,United States,4.07
CSIQ,Canadian Solar Inc,Canada,4.04
TSLA,Tesla Inc,United States,3.88
SEDG,SolarEdge Technologies Inc,United States,3.58
FSLR,First Solar Inc,United States,3.48
AES,The AES Corp,United States,3.03
TPIC,TPI Composites Inc,United States,2.51
NEE,NextEra Energy Inc,United States,2.33
AGR,Avangrid Inc,United States,2.25
ACA,Arcosa Inc,United States,2.23
AY,Atlantica Sustainable Infrastructure PLC,United Kingdom,2.21
AQN,Algonquin Power & Utilities Corp,Canada,2.19
HUN,Huntsman Corp,United States,2.13
ED,Consolidated Edison Inc,United States,2.09
BLDP,Ballard Power Systems Inc,Canada,2.07
VMI,Valmont Industries Inc,United States,2.07
ORA,Ormat Technologies Inc,United States,2.04
GE,General Electric Co,United States,2
NOVA,Sunnova Energy International Inc,United States,1.96
ABB,ABB Ltd ADR,Switzerland,1.89
ENB,Enbridge Inc,Canada,1.75
NJR,New Jersey Resources Corp,United States,1.73
ALE,ALLETE Inc,United States,1.7
AMAT,Applied Materials Inc,United States,1.66
ENIA,Enel Americas SA ADR,Chile,1.53
FCEL,FuelCell Energy Inc,United States,1.22
ELP,Cia Paranaense De Energia Copel ADR,Brazil,1.17
TA,TransAlta Corp,Canada,0.57
MAXN,Maxeon Solar Technologies Ltd Ordinary Shares,Singapore,0.53
ATNI,ATN International Inc,United States,0.51
ENIC,Enel Chile SA ADR,Chile,0.46
HY,Hyster-Yale Materials Handling Inc Class A,United States,0.45
AMSC,American Superconductor Corp,United States,0.43
GNE,Genie Energy Ltd Class B,United States,0.2
SSIXX,State Street Instl Liquid Reserves Prem,United States,0.11
