Symbol,Company,Geography,Weight
FSLR,First Solar Inc,United States,5.28
968,Xinyi Solar Holdings Ltd,China,5.04
ORSTED,Orsted A/S,Denmark,4.86
CEN,Contact Energy Ltd,New Zealand,4.82
MEL,Meridian Energy Ltd,New Zealand,4.82
VWS,Vestas Wind Systems A/S,Denmark,4.74
VER,Verbund AG,Austria,4.68
SGRE,Siemens Gamesa Renewable Energy SA,Spain,4.58
ENPH,Enphase Energy Inc,United States,4.41
ORA,Ormat Technologies Inc,United States,4.07
EDPR,EDP Renovaveis SA,Spain,4.06
SEDG,SolarEdge Technologies Inc,United States,4.03
PLUG,Plug Power Inc,United States,3.68
BLX,Boralex Inc Class A,Canada,3.51
RUN,Sunrun Inc,United States,3.19
SSO,Scatec Solar ASA,Norway,3.14
INE,Innergex Renewable Energy Inc,Canada,3.08
NEOEN,Neoen SA,France,2.69
CAP,Encavis AG,Germany,2.63
CIG,Energy Company of Minas Gerais ADR,Brazil,2.61
DQ,Daqo New Energy Corp ADR,China,2.54
AY,Atlantica Sustainable Infrastructure PLC,United Kingdom,2.53
REGI,Renewable Energy Group Inc,United States,2.5
CSIQ,Canadian Solar Inc,Canada,2.35
SLR,Solaria Energia y Medio Ambiente SA,Spain,1.95
336260,Doosan Fuel Cell Ordinary Shares,South Korea,1.86
NOVA,Sunnova Energy International Inc,United States,1.72
ELP,Cia Paranaense De Energia Copel ADR,Brazil,1.6
PCELL,PowerCell Sweden AB,Sweden,1.51
ENLT,Enlight Renewable Energy Ltd,Israel,1.04
XTSLA,BlackRock Cash Funds Treasury SL Agency,United States,0.23
,Cad Cash,Canada,0.08
,Warrant on Doosan Fuel Cell Ordinary Shares,South Korea,0.05
,Nzd Cash,New Zealand,0.03
,Cash Collateral Usd Hbcft,United Kingdom,0.01
,Dkk Cash,Denmark,0.01
,Eur Cash,,0.01
,Usd Cash,United States,0.01
