Symbol,Company,Geography,Weight
WEED,Canopy Growth Corp,Canada,9.63
CRON,Cronos Group Inc,Canada,7.59
TLRY,Tilray Inc,Canada,7.23
GWPH,GW Pharmaceuticals PLC ADR,United Kingdom,6.62
OGI,OrganiGram Holdings Inc,Canada,4.47
APHA,Aphria Inc,Canada,4.36
ARNA,Arena Pharmaceuticals Inc,United States,4.33
HEXO,HEXO Corp,Canada,4.21
ACB,Aurora Cannabis Inc,Canada,3.67
TPB,Turning Point Brands Inc,United States,3.55
2914,Japan Tobacco Inc,Japan,3.39
VGR,Vector Group Ltd,United States,3.28
SWM,Schweitzer-Mauduit International Inc,United States,3.19
GRWG,GrowGeneration Corp,United States,3.06
SMG,The Scotts Miracle Gro Co A,United States,2.99
SWMA,Swedish Match AB,Sweden,2.97
UVV,Universal Corp,United States,2.96
PM,Philip Morris International Inc,United States,2.87
BATS,British American Tobacco PLC,United Kingdom,2.84
IMB,Imperial Brands PLC,United Kingdom,2.81
MO,Altria Group Inc,United States,2.72
VFF,Village Farms International Inc,Canada,2.3
CARA,Cara Therapeutics Inc,United States,1.68
XXII,22nd Century Group Inc,United States,1.42
LABS,MediPharm Labs Corp,Canada,0.89
CWEB,Charlottes Web Holdings Inc Ordinary Shares,United States,0.76
VLNS,The Valens Co Inc Ordinary Shares,Canada,0.74
,Us Dollars,United States,0.67
CRBP,Corbus Pharmaceuticals Holdings Inc,United States,0.67
TGOD,The Green Organic Dutchman Holdings Ltd Ordinary Shares,Canada,0.65
ZYNE,Zynerba Pharmaceuticals Inc,United States,0.6
RIV,Canopy Rivers Inc,Canada,0.25
FIRE,The Supreme Cannabis Co Inc,Canada,0.18
XLY,Auxly Cannabis Group Inc,Canada,0.15
SNDL,Sundial Growers Inc Ordinary Shares,Canada,0.11
PCLO,PharmaCielo Ltd Ordinary Shares,Canada,0.08
FLWR,The Flowr Corp,Canada,0.08
