Symbol,Company,Geography,Weight
NIO,NIO Inc ADR,China,3.69
JKS,JinkoSolar Holding Co Ltd ADR,China,3.52
SPWR,SunPower Corp,United States,3.06
DQ,Daqo New Energy Corp ADR,China,2.93
LTHM,Livent Corp,United States,2.92
LAC,Lithium Americas Corp,Canada,2.9
ENPH,Enphase Energy Inc,United States,2.8
FSLR,First Solar Inc,United States,2.7
SEDG,SolarEdge Technologies Inc,United States,2.67
SQM,Sociedad Quimica Y Minera De Chile SA ADR,Chile,2.59
KNDI,Kandi Technologies Group Inc,China,2.55
PLUG,Plug Power Inc,United States,2.5
MAXN,Maxeon Solar Technologies Ltd Ordinary Shares,Singapore,2.44
CSIQ,Canadian Solar Inc,Canada,2.39
TPIC,TPI Composites Inc,United States,2.38
ALB,Albemarle Corp,United States,2.32
ORA,Ormat Technologies Inc,United States,2.31
AMRC,Ameresco Inc Class A,United States,2.26
THRM,Gentherm Inc,United States,2.26
AEIS,Advanced Energy Industries Inc,United States,2.2
ITRI,Itron Inc,United States,2.19
TSLA,Tesla Inc,United States,2.18
MYRG,MYR Group Inc,United States,2.17
PWR,Quanta Services Inc,United States,2.16
AY,Atlantica Sustainable Infrastructure PLC,United Kingdom,2.13
AMSC,American Superconductor Corp,United States,2.09
OLED,Universal Display Corp,United States,2.07
REGI,Renewable Energy Group Inc,United States,2.03
CREE,Cree Inc,United States,2.03
VECO,Veeco Instruments Inc,United States,2.02
ESE,ESCO Technologies Inc,United States,2.01
BLDP,Ballard Power Systems Inc,Canada,1.97
NOVA,Sunnova Energy International Inc,United States,1.93
HXL,Hexcel Corp,United States,1.91
BE,Bloom Energy Corp Class A,United States,1.91
WLDN,Willdan Group Inc,United States,1.88
BLNK,Blink Charging Co,United States,1.85
WWD,Woodward Inc,United States,1.84
AZRE,Azure Power Global Ltd,India,1.83
FCEL,FuelCell Energy Inc,United States,1.8
RUN,Sunrun Inc,United States,1.72
WKHS,Workhorse Group Inc,United States,1.61
APD,Air Products & Chemicals Inc,United States,1.57
IEA,Infrastructure and Energy Alternatives Inc,United States,0.74
SOLO,Electrameccanica Vehicles Corp Ltd,Canada,0.5
FUV,Arcimoto Inc,United States,0.42
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,United States,0.05
