Symbol,Company,Geography,Weight
NIO,NIO Inc ADR,China,11.79
SEDG,SolarEdge Technologies Inc,United States,6.84
ENPH,Enphase Energy Inc,United States,6.53
TSLA,Tesla Inc,United States,5.78
ALB,Albemarle Corp,United States,5.04
BEP.UN,Brookfield Renewable Partners LP,United States,4.2
ON,ON Semiconductor Corp,United States,4.13
FSLR,First Solar Inc,United States,4.01
OLED,Universal Display Corp,United States,3.95
CREE,Cree Inc,United States,3.51
RUN,Sunrun Inc,United States,3.37
PLUG,Plug Power Inc,United States,3.25
LFUS,Littelfuse Inc,United States,2.66
NEP,NextEra Energy Partners LP,United States,2.29
BLDP,Ballard Power Systems Inc,Canada,1.97
ORA,Ormat Technologies Inc,United States,1.96
AYI,Acuity Brands Inc,United States,1.95
POWI,Power Integrations Inc,United States,1.9
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,United States,1.75
ENS,EnerSys,United States,1.65
AY,Atlantica Sustainable Infrastructure PLC,United Kingdom,1.64
SPWR,SunPower Corp,United States,1.52
ITRI,Itron Inc,United States,1.51
AEIS,Advanced Energy Industries Inc,United States,1.45
VICR,Vicor Corp,United States,1.36
CWEN,Clearway Energy Inc Class C,United States,1.27
NOVA,Sunnova Energy International Inc,United States,1.23
REGI,Renewable Energy Group Inc,United States,1.23
CSIQ,Canadian Solar Inc,Canada,1.22
DQ,Daqo New Energy Corp ADR,China,1.19
JKS,JinkoSolar Holding Co Ltd ADR,China,1.17
WKHS,Workhorse Group Inc,United States,0.99
LTHM,Livent Corp,United States,0.87
SQM,Sociedad Quimica Y Minera De Chile SA ADR,Chile,0.86
BE,Bloom Energy Corp Class A,United States,0.83
AMRC,Ameresco Inc Class A,United States,0.63
TPIC,TPI Composites Inc,United States,0.62
LAC,Lithium Americas Corp,Canada,0.5
VECO,Veeco Instruments Inc,United States,0.35
FCEL,FuelCell Energy Inc,United States,0.35
AMSC,American Superconductor Corp,United States,0.18
BLNK,Blink Charging Co,United States,0.14
,Interest/Overdraft,,0.11
OESX,Orion Energy Systems Inc,United States,0.11
LYTS,LSI Industries Inc,United States,0.11
