Symbol,Company,Geography,Weight
SEDG,SolarEdge Technologies Inc,United States,10.73
ENPH,Enphase Energy Inc,United States,9.41
968,Xinyi Solar Holdings Ltd,China,8.34
FSLR,First Solar Inc,United States,7.85
JKS,JinkoSolar Holding Co Ltd ADR,China,5.65
RUN,Sunrun Inc,United States,5.39
DQ,Daqo New Energy Corp ADR,China,4.61
SSO,Scatec Solar ASA,Norway,4.11
CAP,Encavis AG,Germany,3.77
CSIQ,Canadian Solar Inc,Canada,3.66
SPWR,SunPower Corp,United States,3.56
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,United States,3.27
SLR,Solaria Energia y Medio Ambiente SA,Spain,3.04
3868,Xinyi Energy Holdings Ltd,China,2.97
CWEN,Clearway Energy Inc Class C,United States,2.93
6865,Flat Glass Group Co Ltd Shs -H- Reg S,China,2.71
AY,Atlantica Sustainable Infrastructure PLC,United Kingdom,2.41
NEOEN,Neoen SA,France,2.3
3800,GCL-Poly Energy Holdings Ltd,China,2.13
AZRE,Azure Power Global Ltd,India,1.96
NOVA,Sunnova Energy International Inc,United States,1.85
MBTN,Meyer Burger Technology AG,Switzerland,1.82
S92,SMA Solar Technology AG,Germany,1.81
1407,West Holdings Corp,Japan,1.48
9519,RENOVA Inc,Japan,1.47
MAXN,Maxeon Solar Technologies Ltd Ordinary Shares,Singapore,0.86
,Cash†,,0.12
