Symbol,Company,Geography,Weight
SESG,SES SA DR,Luxembourg,5.52
ORBC,ORBCOMM Inc,United States,5.52
MAXR,Maxar Technologies Inc,United States,5.51
4825,Weathernews Inc,Japan,5.27
GRMN,Garmin Ltd,Switzerland,5.17
SIRI,Sirius XM Holdings Inc,United States,5.07
SPCE,Virgin Galactic Holdings Inc Shs A,United States,4.93
9412,SKY Perfect JSAT Corp,Japan,4.9
TRMB,Trimble Inc,United States,4.84
VSAT,Viasat Inc,United States,4.74
IRDM,Iridium Communications Inc,United States,4.69
ETL,Eutelsat Communications,France,4.62
SATS,EchoStar Corp,United States,4.19
LORL,Loral Space & Communications Inc,United States,4
DISH,DISH Network Corp Class A,United States,3.92
AVIO,Avio SpA,Italy,3.88
GILT,Gilat Satellite Networks Ltd,Israel,3.59
CMCSA,Comcast Corp Class A,United States,2.37
T,AT&T Inc,United States,2.31
LMT,Lockheed Martin Corp,United States,2.28
BA,Boeing Co,United States,2.26
LHX,L3Harris Technologies Inc,United States,2.16
NOC,Northrop Grumman Corp,United States,2.13
RTX,Raytheon Technologies Corp,United States,2.06
HON,Honeywell International Inc,United States,1.67
BLL,Ball Corp,United States,0.78
AIR,Airbus SE,Netherlands,0.74
FGXXX,First American Government Obligs X,United States,0.51
AJRD,Aerojet Rocketdyne Holdings Inc,United States,0.19
HO,Thales,France,0.13
LDO,Leonardo SpA,Italy,0.03
7013,IHI Corp,Japan,0.01
