symbol,description,isETF,country,cv
AAPL,APPLE INC COM USD0.00001,FALSE,United States,954.08
BNGO,BIONANO GENOMICS INC COM,FALSE,United States,333.33
USLVF,Silver 3xl,FALSE,Metal,2530
MJ,ETFMG ALTERNATIVE HARVEST ETF,TRUE,NA,1372.35
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,FALSE,US Dollars,300
QCLN,FIRST TR EXCHANGE-TRADED FD NAS CLNEDG GREEN,TRUE,NA,826.95
FAN,FIRST TRUST GLOBAL WIND ENERGY ETF,TRUE,NA,1491.75
PBW,INVESCO EXCHANGE TRADED FD TR WILDERHIL CLAN,TRUE,NA,1511.2
TAN,INVESCO EXCH TRADED FD TR II SOLAR ETF,TRUE,NA,3461.08
PBD,INVESCO EXCH TRADED FD TR II GBL CLEAN ENRG,TRUE,NA,1327
IAU,Gold,FALSE,Metal,7200
ICLN,ISHARES TR GL CLEAN ENE ETF,TRUE,NA,1410.5
MSFT,MICROSOFT CORP,FALSE,United States,216.51
PYPL,PAYPAL HLDGS INC COM,FALSE,United States,188.62
UFO,PROCURE ETF TRUST II SPACE ETF,TRUE,NA,1422.3
CNRG,SPDR SER TR S&P KENSHO CLEAN,TRUE,NA,1262.1
